grade_distributions.A-,code,grade_distributions.NC,grade_distributions.A+,grade_distributions.B,grade_distributions.C+,grade_distributions.D-,grade_distributions.A,grade_distributions.F,grade_distributions.D,grade_distributions.C-,grade_distributions.CR,grade_distributions.B+,grade_distributions.C,grade_distributions.D+,grade_distributions.B-
2,AFRICAAM 43,0,0,2,0,0,2,0,0,0,0,3,0,0,3
0,AFRICAAM 45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,AFRICAAM 47,0,0,1,0,0,0,0,0,1,0,5,0,0,1
3,AFRICAAM 48Q,1,0,2,0,0,4,0,0,0,0,0,1,0,0
2,AFRICAAM 50B,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,AFRICAAM 54N,0,1,0,0,0,6,0,0,0,1,0,0,0,0
,AFRICAAM 64C,,,,,,,,,,,,,,
,AFRICAAM 75E,,,,,,,,,,,,,,
,AFRICAAM 101F,,,,,,,,,,,,,,
,AFRICAAM 102,,,,,,,,,,,,,,
,AFRICAAM 103,,,,,,,,,,,,,,
9,AFRICAAM 105,0,8,6,0,0,40,0,0,0,0,2,0,0,1
0,AFRICAAM 106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AFRICAAM 107C,,,,,,,,,,,,,,
1,AFRICAAM 112,0,0,0,0,0,4,0,0,0,0,1,0,0,0
0,AFRICAAM 115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AFRICAAM 116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AFRICAAM 121X,0,3,1,0,0,7,0,0,0,0,4,0,0,0
,AFRICAAM 122E,,,,,,,,,,,,,,
,AFRICAAM 123,,,,,,,,,,,,,,
,AFRICAAM 125V,,,,,,,,,,,,,,
,AFRICAAM 126B,,,,,,,,,,,,,,
,AFRICAAM 127A,,,,,,,,,,,,,,
,AFRICAAM 130,,,,,,,,,,,,,,
,AFRICAAM 131,,,,,,,,,,,,,,
0,AFRICAAM 133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AFRICAAM 145A,,,,,,,,,,,,,,
,AFRICAAM 145B,,,,,,,,,,,,,,
3,AFRICAAM 147,0,0,3,0,0,2,0,0,0,0,2,0,0,0
0,AFRICAAM 150B,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,AFRICAAM 152G,0,0,0,0,0,3,0,0,0,0,0,0,0,0
,AFRICAAM 154,,,,,,,,,,,,,,
,AFRICAAM 156,,,,,,,,,,,,,,
,AFRICAAM 158,,,,,,,,,,,,,,
2,AFRICAAM 166,0,0,0,0,0,2,0,0,0,0,0,1,0,0
,AFRICAAM 181Q,,,,,,,,,,,,,,
0,AFRICAAM 190,0,1,0,0,0,2,0,0,0,0,0,0,0,0
,AFRICAAM 195,,,,,,,,,,,,,,
1,AFRICAAM 199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AFRICAAM 200X,0,1,0,0,0,4,0,0,0,0,1,0,0,0
0,AFRICAAM 200Y,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,AFRICAAM 200Z,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,AFRICAAM 201F,,,,,,,,,,,,,,
,AFRICAAM 212,,,,,,,,,,,,,,
,AFRICAAM 226,,,,,,,,,,,,,,
,AFRICAAM 233A,,,,,,,,,,,,,,
1,AFRICAAM 245,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,AFRICAAM 261E,,,,,,,,,,,,,,
,AFRICAAM 262D,,,,,,,,,,,,,,
,AFRICAAM 267E,,,,,,,,,,,,,,
,AFRICAAM 290,,,,,,,,,,,,,,
,AFRICAAM 301,,,,,,,,,,,,,,
,AFRICAST 72SI,,,,,,,,,,,,,,
,AFRICAST 109,,,,,,,,,,,,,,
,AFRICAST 111,,,,,,,,,,,,,,
10,AFRICAST 112,0,0,6,0,0,4,0,0,0,1,8,0,0,1
,AFRICAST 115,,,,,,,,,,,,,,
,AFRICAST 127,,,,,,,,,,,,,,
,AFRICAST 135,,,,,,,,,,,,,,
,AFRICAST 138,,,,,,,,,,,,,,
,AFRICAST 139A,,,,,,,,,,,,,,
,AFRICAST 141A,,,,,,,,,,,,,,
,AFRICAST 142,,,,,,,,,,,,,,
,AFRICAST 151,,,,,,,,,,,,,,
,AFRICAST 190,,,,,,,,,,,,,,
,AFRICAST 195,,,,,,,,,,,,,,
0,AFRICAST 199,0,0,0,0,0,5,0,0,0,1,0,0,0,0
0,AFRICAST 200,0,0,0,0,0,0,0,0,0,7,0,0,0,0
,AFRICAST 209,,,,,,,,,,,,,,
,AFRICAST 211,,,,,,,,,,,,,,
1,AFRICAST 212,0,0,0,0,0,2,0,0,0,2,0,0,0,0
,AFRICAST 224,,,,,,,,,,,,,,
,AFRICAST 235,,,,,,,,,,,,,,
,AFRICAST 238,,,,,,,,,,,,,,
0,AFRICAST 299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AFRICAST 300,0,0,0,0,0,1,1,0,0,14,1,0,0,0
2,AFRICAST 301A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
